"","winters"
"summers",0.33
"mild",0.26
"freezing",0.15
"climate",0.14
"snowfall",0.14
"cold",0.13
"snow",0.12
"autumn",0.1
"winter",0.1
"humid",0.09
"storms",0.09
"weather",0.09
"aprhigh",0.08
"aprlow",0.08
"aprprecip",0.08
"aughigh",0.08
"auglow",0.08
"augprecip",0.08
"average",0.08
"cool",0.08
"cooler",0.08
"dechigh",0.08
"declow",0.08
"decprecip",0.08
"febhigh",0.08
"feblow",0.08
"febprecip",0.08
"janhigh",0.08
"janlow",0.08
"janprecip",0.08
"julhigh",0.08
"jullow",0.08
"julprecip",0.08
"junhigh",0.08
"junlow",0.08
"junprecip",0.08
"marhigh",0.08
"mayhigh",0.08
"maylow",0.08
"mayprecip",0.08
"novhigh",0.08
"novlow",0.08
"novprecip",0.08
"octhigh",0.08
"octlow",0.08
"octprecip",0.08
"sephigh",0.08
"seplow",0.08
"sepprecip",0.08
"steakhouse",0.08
"warm",0.08
"blocked",0.07
"humidity",0.07
"marlow",0.07
"marprecip",0.07
"replace",0.07
